epoch,train_loss,val_loss,lr
246,-11.969,-11.016,
247,-12.013,-11.175,
248,-12.118,-11.122,
249,-12.246,-11.208,
250,-12.283,-11.356,
251,-12.26,-11.14,
252,-12.306,-11.246,
253,-12.267,-11.171,
254,-12.398,-11.424,
255,-12.414,-11.22,
256,-12.39,-11.283,
257,-12.406,-11.309,
258,-12.403,-11.088,
259,-12.56,-11.286,
260,-12.38,-11.411,
261,-12.442,-11.356,
262,-12.501,-11.403,
263,-12.446,-11.401,
264,-12.579,-11.256,
265,-12.48,-11.354,
266,-12.562,-11.584,
267,-12.422,-11.606,
268,-12.4,-11.367,
269,-12.731,-11.38,
270,-12.479,-11.519,
271,-12.534,-11.72,
272,-12.538,-11.47,
273,-12.565,-11.313,
274,-12.523,-11.488,
275,-12.475,-11.225,
276,-12.557,-11.286,
277,-12.469,-11.422,
278,-12.533,-11.497,
279,-12.577,-11.649,
280,-12.445,-11.553,
281,,-11.579,
282,-12.548,-11.414,
283,-12.479,-11.668,
284,-12.503,-11.597,
285,-12.607,-11.307,
286,-12.62,-11.612,
287,-12.632,-11.587,
288,-12.643,-11.679,
289,-12.668,-11.499,
290,-12.842,-11.66,
291,-12.786,-11.651,
292,-12.709,-11.642,
293,-12.8,-11.859,
294,-12.803,-11.674,
295,-12.805,-11.752,
296,-12.838,-11.84,
297,-12.851,-11.743,
298,-12.89,-11.751,
299,-12.886,-11.669,
300,-12.861,-11.742,
301,-12.803,-11.835,
302,-12.982,-11.699,
303,-12.797,-11.706,
304,-12.965,-11.773,
305,-12.868,-11.893,
306,-12.925,-11.798,
307,-12.86,-11.835,
308,-12.939,-11.942,
309,-12.801,-11.86,
310,-12.849,-11.834,
311,-12.807,-11.784,
312,-12.899,-11.853,
313,-12.839,-11.792,
314,-12.978,-11.722,
315,-12.951,-11.676,
316,-12.884,-11.712,
317,-12.871,-11.703,
318,-12.958,-11.61,
319,-12.898,-11.63,
320,-12.891,-11.838,
321,-12.874,-11.703,
322,-12.954,-11.574,
323,-12.971,-11.796,
324,-13.058,-11.757,
325,-12.973,-11.828,
326,-12.957,-11.823,
327,-13.093,-11.922,
328,-13.031,-11.972,
329,-13.045,-11.939,
330,-12.944,-11.827,
331,-13.149,-11.744,
332,-13.019,-11.649,
333,-13.026,-11.78,
334,-13.03,-11.899,
335,-13.012,-11.641,
336,-12.951,-11.694,
337,-13.025,-11.877,
338,-13.031,-11.923,
339,-13.019,-11.944,
340,-13.037,-11.91,
341,-13.063,-11.829,
342,-13.123,-11.884,
343,-12.97,-11.781,
344,-12.975,-11.81,
345,-13.076,-11.921,
346,-13.128,-11.942,
347,-13.105,-11.887,
348,-13.143,-11.915,
349,-13.112,-11.963,
350,-13.158,-11.922,
351,-13.129,-11.982,
352,-13.189,-11.984,
353,-13.156,-12.005,
354,-13.075,-11.902,
355,-13.158,-11.912,
356,-13.193,-11.926,
357,-13.087,-11.991,
358,-13.178,-11.945,
359,-13.086,-11.961,
360,-13.149,-12.001,
361,-13.148,-11.859,
362,-13.167,-11.954,
363,-13.163,-11.953,
364,-13.11,-11.889,
365,-13.091,-11.897,
366,-13.163,-11.852,
367,-13.136,-11.887,
368,-13.171,-11.927,
369,-13.076,-11.923,
370,-13.253,-11.945,
371,-13.176,-11.926,
372,-13.149,-11.923,
373,-13.158,-11.897,
374,-13.145,-11.874,
375,-13.151,-11.878,
376,-13.204,-11.924,
377,-13.179,-11.911,
378,-13.056,-11.93,
379,-13.245,-11.917,
380,-13.011,-11.919,
381,-13.138,-11.89,
382,-13.167,-11.902,
383,-13.206,-11.927,
384,-13.041,-11.943,
385,-13.294,-11.919,
386,-13.236,-11.899,
387,-13.208,-11.897,
388,-13.221,-11.912,
389,-13.149,-11.922,
390,-13.099,-11.939,
391,-13.169,-11.941,
392,-13.148,-11.939,
393,-13.171,-11.951,
